date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:17	99368/99368	---M--	200	added ('OK')	image/svg+xml	etag:%2218428-56888f2d4dc1a%22	https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.svg	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.svg	(from https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/dripicons.css?ver=4.9.8)
11:09:17	166892/166892	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2228bec-56888f2ee309c%22	https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.eot	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.eot	(from https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/style.css?ver=4.9.8)
11:09:17	44300/44300	---M--	200	added ('OK')	text/html	etag:%22ad0c-56888f2f116d0%22	https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.woff2	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.html	(from https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/style.css?ver=4.9.8)
11:09:17	57620/57620	---M--	200	added ('OK')	application/font-woff	etag:%22e114-56888f2f0537f%22	https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.woff	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.woff	(from https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/style.css?ver=4.9.8)
11:09:17	128180/128180	---M--	200	added ('OK')	application/font-sfnt	etag:%221f4b4-56888f2efde4f%22	https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.ttf	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/material-icons/fonts/MaterialIcons-Regular.ttf	(from https://sweep.city/wp-content/themes/sceon/assets/css/material-icons/style.css?ver=4.9.8)
11:09:18	4598/4598	---M--	200	added ('OK')	image/svg+xml	etag:%2211f6-56888f8d28d66%22	https://sweep.city/wp-includes/js/mediaelement/mejs-controls.svg	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-includes/js/mediaelement/mejs-controls.svg	(from https://sweep.city/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1)
11:09:25	302/302	---M--	200	added ('OK')	image/png	etag:%2212e-56888ed94af6b%22	https://sweep.city/wp-content/plugins/js_composer/assets/vc/alert.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/vc/alert.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:29	323/323	---M--	200	added ('OK')	image/png	etag:%22143-56888ed99df92%22	https://sweep.city/wp-content/plugins/js_composer/assets/vc/info.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/vc/info.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:33	244/244	---M--	200	added ('OK')	image/png	etag:%22f4-56888ed9e9a88%22	https://sweep.city/wp-content/plugins/js_composer/assets/vc/tick.png	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/js_composer/assets/vc/tick.png	(from https://sweep.city/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7)
11:09:34	330644/330644	---M--	200	added ('OK')	image/jpeg	etag:%2250b94-56787c7453240%22	http://sceon.elated-themes.com/wp-content/uploads/2018/01/Error-page-img.jpg	C:/Users/HP/Desktop/SiteTakeTaxi/sceon.elated-themes.com/wp-content/uploads/2018/01/Error-page-img.jpg	(from https://sweep.city/wp-content/themes/sceon/assets/css/style_dynamic.css?ver=1527176694)
